path_relativo,base_name,ext_upper,n_files,variantes_csv,descricao_compacta
Consumo Fornos,2018_CONSUMO,CSV,4,"F5, F4, F3, F2","2018_CONSUMO; F5, F4, F3, F2; CSV"
Consumo Fornos,2019_CONSUMO,CSV,5,"F5, F4, F3, F2, F1","2019_CONSUMO; F5, F4, F3, F2, F1; CSV"
Consumo Fornos,2020_CONSUMO,CSV,5,"F5, F4, F3, F2, F1","2020_CONSUMO; F5, F4, F3, F2, F1; CSV"
Consumo Fornos,2021_CONSUMO,CSV,5,"F5, F4, F3, F2, F1","2021_CONSUMO; F5, F4, F3, F2, F1; CSV"
Consumo Fornos,2022_CONSUMO,CSV,5,"F5, F4, F3, F2, F1","2022_CONSUMO; F5, F4, F3, F2, F1; CSV"
Consumo Fornos,2023_CONSUMO,CSV,5,"F5, F4, F3, F2, F1","2023_CONSUMO; F5, F4, F3, F2, F1; CSV"
Consumo Fornos,2024_CONSUMO,CSV,5,"F5, F4, F3, F2, F1","2024_CONSUMO; F5, F4, F3, F2, F1; CSV"
Consumo Fornos,2025_CONSUMO,CSV,5,"F5, F4, F3, F2, F1","2025_CONSUMO; F5, F4, F3, F2, F1; CSV"
Corridas,2018_CORRIDA,CSV,5,"F5, F4, F3, F2, F1","2018_CORRIDA; F5, F4, F3, F2, F1; CSV"
Corridas,2019_CORRIDA,CSV,5,"F5, F4, F3, F2, F1","2019_CORRIDA; F5, F4, F3, F2, F1; CSV"
Corridas,2020_CORRIDA,CSV,5,"F5, F4, F3, F2, F1","2020_CORRIDA; F5, F4, F3, F2, F1; CSV"
Corridas,2021_CORRIDA,CSV,5,"F5, F4, F3, F2, F1","2021_CORRIDA; F5, F4, F3, F2, F1; CSV"
Corridas,2022_CORRIDA,CSV,5,"F5, F4, F3, F2, F1","2022_CORRIDA; F5, F4, F3, F2, F1; CSV"
Corridas,2023_CORRIDA,CSV,5,"F5, F4, F3, F2, F1","2023_CORRIDA; F5, F4, F3, F2, F1; CSV"
Corridas,2024_CORRIDA,CSV,5,"F5, F4, F3, F2, F1","2024_CORRIDA; F5, F4, F3, F2, F1; CSV"
Corridas,2025_CORRIDA,CSV,5,"F5, F4, F3, F2, F1","2025_CORRIDA; F5, F4, F3, F2, F1; CSV"
Dicionário,DIC_CONSUMO,XLSX,1,,DIC_CONSUMO; XLSX
Dicionário,DIC_CORRIDA,XLSX,1,,DIC_CORRIDA; XLSX
Dicionário,DIC_ELETRODO,XLSX,1,,DIC_ELETRODO; XLSX
Dicionário,DIC_INF_DIÁRIO,XLSX,1,,DIC_INF_DIÁRIO; XLSX
Dicionário,DIC_SUPERVISORIO,XLSX,1,F4,DIC_SUPERVISORIO; F4; XLSX
Dicionário,DIC_SUPERVISORIO_HORA,XLSX,1,F5,DIC_SUPERVISORIO_HORA; F5; XLSX
Dicionário,DIC_SUPERVISORIO_MINUTO,XLSX,1,F5,DIC_SUPERVISORIO_MINUTO; F5; XLSX
Eletrodo,MEDIÇÃO_ELETRODO,CSV,1,,MEDIÇÃO_ELETRODO; CSV
Informações Diária,2018_INF_DIARIO,CSV,5,"F5, F4, F3, F2, F1","2018_INF_DIARIO; F5, F4, F3, F2, F1; CSV"
Informações Diária,2019_INF_DIARIO,CSV,5,"F5, F4, F3, F2, F1","2019_INF_DIARIO; F5, F4, F3, F2, F1; CSV"
Informações Diária,2020_INF_DIARIO,CSV,5,"F5, F4, F3, F2, F1","2020_INF_DIARIO; F5, F4, F3, F2, F1; CSV"
Informações Diária,2021_INF_DIARIO,CSV,5,"F5, F4, F3, F2, F1","2021_INF_DIARIO; F5, F4, F3, F2, F1; CSV"
Informações Diária,2022_INF_DIARIO,CSV,5,"F5, F4, F3, F2, F1","2022_INF_DIARIO; F5, F4, F3, F2, F1; CSV"
Informações Diária,2023_INF_DIARIO,CSV,5,"F5, F4, F3, F2, F1","2023_INF_DIARIO; F5, F4, F3, F2, F1; CSV"
Informações Diária,2024_INF_DIARIO,CSV,5,"F5, F4, F3, F2, F1","2024_INF_DIARIO; F5, F4, F3, F2, F1; CSV"
Informações Diária,2025_INF_DIARIO,CSV,5,"F5, F4, F3, F2, F1","2025_INF_DIARIO; F5, F4, F3, F2, F1; CSV"
Supervisorio Forno 4,2024_1S,CSV,1,F4,2024_1S; F4; CSV
Supervisorio Forno 4,2024_2S,CSV,1,F4,2024_2S; F4; CSV
Supervisorio Forno 5,SUPERVISORIO_MINUTO,CSV,1,F5,SUPERVISORIO_MINUTO; F5; CSV
Supervisorio Forno 5,SUPERVISOR_HORA,CSV,1,F5,SUPERVISOR_HORA; F5; CSV
